a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec
68448,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Bengkulu Tengah\Kecamatan Pondok Kelapa\pmn_pondokKelapa.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,pondokKelapa
68470,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Bengkulu Utara\Kecamatan Air Napal\pmn_airNapal.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,airNapal
68494,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Kaur\Kecamatan Kaur Tengah\pmn_kaurTengah.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,kaurTengah
68515,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Kaur\Kecamatan Semidang Gumay\pmn_semidangGumay.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,semidangGumay
68536,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2012\Kab. Kaur\Kecamatan Tanjung Kemuning\pmn_tanjungKemuning.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,tanjungKemuning
68562,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2013\Kab. Bengkulu Utara\Kecamatan Air Besi\pmn_airBesi.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,airBesi
68583,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2013\Kab. Bengkulu Utara\Kecamatan Batik Nau\pmn_batikNau.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,batikNau
68604,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2013\Kab. Bengkulu Utara\Kecamatan Lais\pmn_lais.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,lais
68670,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2013\Kab. Seluma\Kecamatan Seluma Timur\pmn_selumaTimur.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,selumaTimur
68698,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2014\Kab. Bengkulu Selatan\Kecamatan Bunga Mas\pmn_bungaMas.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,bungaMas
68719,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2014\Kab. Bengkulu Selatan\Kecamatan Kedurang Ilir\pmn_kedurangHilir.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,kedurangHilir
68747,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2014\Kab. Bengkulu Selatan\Kecamatan Kota Manna\pmn_kotaManna.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,kotaManna
68768,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2014\Kab. Bengkulu Selatan\Kecamatan Manna\pmn_manna.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,manna
68789,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2014\Kab. Bengkulu Selatan\Kecamatan Pasar Manna\pmn_pasarManna.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,pasarManna
68810,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI BENGKULU 2015\TAHUN 2014\Kab. Bengkulu Selatan\Kecamatan Pino Raya\pmn_pinoRaya.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Bengkulu,,,,,,,pinoRaya
70353,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2010\pmn_lasolo.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,lasolo
70367,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2010\pmn_palanggaSelatan.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,palanggaSelatan
70374,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2010\pmn_tinanggea.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,tinanggea
70444,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2011\pmn_lainea.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,lainea
70451,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2011\pmn_laonti.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,laonti
70458,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2011\pmn_moramo.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,moramo
