a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\26. Sulsel 2016\TAKKALALLA\FAIL SHP\Pemilikan.shp,"['FID','KECAMATAN','Pemilikan','Las__Ha_']",1,Pesisir,2016,Sulawesi Selatan,,Kecamatan Takkala,,Pemilikan,,Takkala,Takkala
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\26. Sulsel 2016\PENRANG\FAIL SHP\Pemilikan.shp,"['FID','KECAMATAN','Pemilikan','Las_Ha']",1,Pesisir,2016,Sulawesi Selatan,,Kecamatan Penrang,,Pemilikan,,Penrang,Penrang
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\26. Sulsel 2016\SAJOANGING\PERTANAHAN_SAJOANGING_WAJO.shp,"['FID','ADM','Qwajo','Q_code','PEMILIKAN','Code_Pemil','PENGUASAAN','code_Peng','PEMANFAATA','PROVINSI','KABUPATEN','KECAMATAN','PERTANAHAN','L_M2','L_Ha']",1,Pesisir,2016,Sulawesi Selatan,,Kecamatan Sajoangin,,PEMILIKAN,,Sajoangin,Sajoangin
,C:\WP3WT\PPKT\SHP\Pulau Meatimarang\Pemilikan_region.shp,"['FID','ID','NO_SU','LUAS_M2','BIDANG','NAMA','WNA_WNI','PROFESI','DOMISILI','TANAH','TANAH0','TANAH1','TAHUN','PENGGUNAAN','KETERANGAN','DESA']",1,Pulau Kecil,2017,Maluku,,Kecamatan Metimiarang,TANAH,,,Metimiarang,Metimiarang
,C:\WP3WT\PPKT\SHP\Kolepon\PEMILIKAN\m_kolepon.shp,"['FID','NAMA_PULAU','PGN','PENGGUNAAN','M_KODE','PEMILIKAN']",1,Pulau Kecil,2017,Papua,,Kecamatan Kolepom,,PEMILIKAN,,Kolepom,Kolepom
,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\33. Papua Barat 2011\08 12 2013\MANOKWARI UTARA\PANTURA SHP\Pemilikan\pemilikan1.shp,"['FID','Nomor_Iden','Keterangan','OBJECT_ID','Pemilikan','Kode_Pemil']",1,Pesisir,2011,Papua Barat,,Kecamatan Pantura,,Pemilikan,,Pantura,Pantura
,C:\WP3WT\PPKT\SHP\Miossu\Pemilikan.shp,"['FID','Id','Penggnaan','Las','Pengasaan','pemilikan']",1,Pulau Kecil,2017,Papua Barat,,Kecamatan Miossu,,pemilikan,,Miossu,Miossu
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
