Python 2.7.12 (v2.7.12:d33e0cf91556, Jun 27 2016, 15:19:22) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> 
========================= RESTART: E:/Hara/cek_ov.py =========================
581,overlaps,582
584,overlaps,757
590,equals,591
590,contains,591
594,equals,595
594,contains,595
602,overlaps,713
602,overlaps,717
608,equals,615
608,contains,615
611,overlaps,612
614,overlaps,619
617,overlaps,618
617,overlaps,620
618,overlaps,620
626,overlaps,633
627,overlaps,628
639,overlaps,640
642,overlaps,663
645,overlaps,647
653,overlaps,657
660,overlaps,666
661,overlaps,665
669,overlaps,670
675,overlaps,678
687,overlaps,688
704,overlaps,705
708,overlaps,711
710,overlaps,714
719,overlaps,721
735,contains,737
735,overlaps,738
737,overlaps,738
741,overlaps,742
743,overlaps,744
746,overlaps,749
746,overlaps,750
766,overlaps,767
768,overlaps,770
770,overlaps,771
774,overlaps,775
776,overlaps,777
787,overlaps,791
787,overlaps,795
791,overlaps,792
791,overlaps,793
796,overlaps,797
796,overlaps,799
797,equals,799
797,contains,799
798,overlaps,801
>>> 
