url,prov,Kec,Nama File,Nama Feature
F:\WP3WT\@ Integrasi Data\2013\15 Jateng\2013\Kabupaten Pemalang\Kecamatan Ulujami\ptn_ulujami.shp,Jawa Tengah,Ulujami,ptn_ulujami.shp,ptn_ulujami
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Adipala\ptn_adipala.shp,Jawa Tengah,Adipala,ptn_adipala.shp,ptn_adipala
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Bantarsari\ptn_bantarsari.shp,Jawa Tengah,Bantarsari,ptn_bantarsari.shp,ptn_bantarsari
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Binangun\ptn_binangun.shp,Jawa Tengah,Binangun,ptn_binangun.shp,ptn_binangun
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Cilacap Tengah\ptn_cilacaptengah.shp,Jawa Tengah,Cilacap_Tengah,ptn_cilacaptengah.shp,ptn_cilacaptengah
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Cilacap Utara\ptn_cilacaputara.shp,Jawa Tengah,Cilacap_Utara,ptn_cilacaputara.shp,ptn_cilacaputara
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Jeruklegi\ptn_jeruklegi.shp,Jawa Tengah,Jeruklegi,ptn_jeruklegi.shp,ptn_jeruklegi
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Kawunganten\ptn_kawunganten.shp,Jawa Tengah,Kawunganten,ptn_kawunganten.shp,ptn_kawunganten
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Kesugihan\ptn_kesugihan.shp,Jawa Tengah,Kesugihan,ptn_kesugihan.shp,ptn_kesugihan
F:\WP3WT\@ Integrasi Data\2014\Jateng\2010\Kabupaten Cilacap\Kecamatan Patimuan\ptn_patimuan.shp,Jawa Tengah,Patimuan,ptn_patimuan.shp,ptn_patimuan
