a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Pemilikan_Benggala.shp,"['Id', 'No_SU', 'Luas_M2', 'Alamat_Bid', 'Nama_Pemil', 'WNA_WNI', 'Profesi', 'Domisili', 'Status_TNH', 'Tipe_Stat', 'No_Status', 'Tahun', 'Thn_Kuasa', 'Kode_Milik']",2,Pulau,2017,Aceh,,Pulau Benggala,,,,Benggala,Benggala,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kisar\SHP\Pemilikan.shp,"['ID', 'NO_SU', 'LUAS_M2', 'BIDANG', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'STATUS', 'STATUS0', 'NO_STATUS', 'TAHUN', 'PENGGUNAAN', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Kisar,,,,Kisar,Kisar,,,,
,C:\WP3WT\PPKT\SHP\Pulau Leti\Pemilikan_region_Project.shp,"['ID', 'NO_SU', 'LUAS_M2', 'BIDANG', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'STATUS', 'STATUS0', 'NO_STATUS', 'TAHUN', 'PENGGUNAAN', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Leti,,,,Leti,Leti,,,,
,C:\WP3WT\PPKT\SHP\Pulau Lirang\Pemilikan_region_geo.shp,"['ID', 'NO_SU', 'LUAS_M2', 'BIDANG', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'PENGGUNAAN', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Lirang,,,,Lirang,Lirang,,,,
,C:\WP3WT\PPKT\SHP\Pulau Wetar\Pemilikan_region.shp,"['ID', 'NO_SU', 'LUAS_M2', 'BIDANG', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'PENGGUNAAN', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Wetar,,,,Wetar,Wetar,,,,
,C:\WP3WT\PPKT\SHP\Budd\Kepemilikan.shp,"['Id', 'pemilik', 'Penggunaan', 'LUAS', 'LUAS_HA', 'Pemilikan']",2,Pulau,2017,Papua Barat,,Pulau Budd,,,,Budd,Budd,,,,
,C:\WP3WT\PPKT\SHP\JIEW\gugusan_pemilikan.shp,"['Id', 'Pemilikan', 'Area']",2,Pulau,2017,Maluku Utara,,Pulau Jiew,,,,Jiew,Jiew,,,,
,C:\WP3WT\PPKT\SHP\Batu Berhanti\P_Batuberhenti_Pemilikan.shp,"['Id', 'Pemilikan', 'id_wilayah', 'nos', 'luas_m2', 'almat_bdan', 'nama', 'kewarganeg']",2,Pulau,2017,Kep Riau,,Pulau BatuBerhanti,,,,BatuBerhanti,BatuBerhanti,,,,
,C:\WP3WT\PPKT\SHP\Nipa\P_Nipah_Pemilikan.shp,"['ID', 'Pemilikan', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Nipa,,,,Nipa,Nipa,,,,
,C:\WP3WT\PPKT\SHP\PULAU SIBARU BARU\Shp\Shp_pemilikan\projectsibarubarupemilikan.shp,"['Id', 'pemilikan', 'kode']",2,Pulau,2017,Sumatera Barat,,Pulau Sibarubaru,,,,Sibarubaru,Sibarubaru,,,,
