a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec,,,,
275569,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\01. Aceh 2013\Aceh 2013\Pesisir 2013\Kec.Peudada 2013\Kecamatan Peudada Project\SHP\Penggunaan.shp,"['Id', 'Penggunaan', 'luas', 'Ha']",2,Pesisir,2013,Aceh,,Kecamatan Peudada,,,,Peudada,Peudada,,,,
a,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\01. Aceh 2011\22 11 11\Aceh 2011\Pulau\SHP_Benggala\SHP\Penggunaan_Benggala.shp,,2,Pulau,2011,Aceh,,Pulau_Bengala,,,,Pulau_Bengala,Pulau_Bengala,,,,
132945,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\01. Aceh 2011\22 11 11\Aceh 2011\Pulau\Pulau Rondo\PGT_Rondo.shp,"['Id', 'PGT', 'Point', 'Kecamatan', 'Luas']",2,Pulau,2011,Aceh,,Pulau_Rondo,,,,Pulau_Rondo,Pulau_Rondo,,,,
133023,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\01. Aceh 2011\22 11 11\Aceh 2011\Pulau\Rusa\Penggunaan.shp,"['Id', 'Penggunaan', 'Pmanfaatan', 'Luas']",2,Pulau,2011,Aceh,,Pulau_Rusa,,,,Pulau_Rusa,Pulau_Rusa,,,,
81837,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\01. Aceh 2010\back up WP3WT 2010\PULAU2 KECIL\SALAUT BESAR\Penggunaan.shp,"['Id', 'Nama', 'Luas', 'PGT', 'Manfaat']",2,Pulau,2010,Aceh,,Pulau_SalautBesar,,,,Pulau_SalautBesar,Pulau_SalautBesar,,,,
82008,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\01. Aceh 2010\back up WP3WT 2010\PULAU2 KECIL\SIMEULUE CUT\PENGGUNAAN.shp,"['Id', 'PULAU', 'PGT', 'Luas_1', 'Luas_Ha']",2,Pulau,2010,Aceh,,Pulau_Simeuleuceut,,,,Pulau_Simeuleuceut,Pulau_Simeuleuceut,,,,
313869,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\Aceh 2013\Pesisir 2013\Kec.Samalanga 13\Kecamatan Samalanga Project\KECAMATAN SAMALANGA\SHP\penggunaan_ortophoto.shp,[''],2,Pesisir,2013,Aceh,,Kecamatan Samalanga,,,,Samalanga,Samalanga,,,,
48896,F:\WP3WT\@ Integrasi Data\2013\1 Aceh 2013\2012\Kecamatan Samatiga\Penggunaan_Kec.shp,"['FID_BatasK', 'Id', 'Keterangan', 'Luas', 'FID_Pengg', 'Penggunaan', 'Kode', 'Luas__M2_']",2,Pesisir,2012,Aceh,,Kecamatan Samatiga,,,,Samatiga,Samatiga,,,,
131206,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2011-2012\2011\Ada Spasial\01. Aceh 2011\05 06 12\LAPORAN AKHIR_2011_ACEH\LAPORAN AKHIR PESISIR 2011\3. SETIA BAKTI\PETA KEC.SETIA BAKTI\SHP\Setia Bakti_PGT.shp,"['ID_PENGSKR', 'PENGSKR', 'ID_KEC', 'KECAMATAN', 'LUAS']",2,Pesisir,2011,Aceh,,Kecamatan SetiaBakti,,,,SetiaBakti,SetiaBakti,,,,
82251,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2009-2010\2010\Ada Spasial\01. Aceh 2010\KOTA SIGLI SHP\Penggunaan lahan Kota Sigli.shp,"['Id', 'PGT', 'Pemanfaata', 'Luas']",2,Pesisir,2010,Aceh,,Kecamatan Sigli,,,,Sigli,Sigli,,,,
