a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Nongsa\P_Nongsa_Penggunaan.shp,"['FID_P_Nong', 'Id', 'Penggunaan', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau Nongsa,,,,Nongsa,Nongsa,,,,
,C:\WP3WT\PPKT\SHP\Pelampong\P_Pelampong_Penggunaan.shp,"['FID_P_Pela', 'Id', 'Penggunaan', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau Pelampong,,,,Pelampong,Pelampong,,,,
,C:\WP3WT\PPKT\SHP\Sebetul\geografis\PenggunaantanahSebetul_regio.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Sebetul,,,,Sebetul,Sebetul,,,,
,C:\WP3WT\PPKT\SHP\Sekatung\Penggunaan_region.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Sekatung,,,,Sekatung,Sekatung,,,,
,C:\WP3WT\PPKT\SHP\Semiun\Penggunaan_region.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN']",2,Pulau,2017,Kep Riau,,Pulau Semiun,,,,Semiun,Semiun,,,,
,C:\WP3WT\PPKT\SHP\Sentut\Penggunaan_Sentut.shp,"['KODE_PENGG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau Sentut,,,,Sentut,Sentut,,,,
,C:\WP3WT\PPKT\SHP\Senua\Penggunaan tanah_region.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN', 'penggunaan']",2,Pulau,2017,Kep Riau,,Pulau Senua,,,,Senua,Senua,,,,
,C:\WP3WT\PPKT\SHP\Subi Kecil\Penggunaan_region.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN', 'penggunaan', 'penguasaan']",2,Pulau,2017,Kep Riau,,Pulau SubiKecil,,,,SubiKecil,SubiKecil,,,,
,C:\WP3WT\PPKT\SHP\Tokong Berlayar\Penggunaan\Penggunaan.shp,"['Id', 'No_Identif', 'Jenis_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau TokongBerlayar,,,,TokongBerlayar,TokongBerlayar,,,,
,C:\WP3WT\PPKT\SHP\Tokong Boro\Penggunaan tanah_region.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN']",2,Pulau,2017,Kep Riau,,Pulau TokongBoro,,,,TokongBoro,TokongBoro,,,,
,C:\WP3WT\PPKT\SHP\Tokong Malang Biru\Penggunaan_Malangbiru.shp,"['KODE_PENGG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau TokongMalangBiru,,,,TokongMalangBiru,TokongMalangBiru,,,,
,C:\WP3WT\PPKT\SHP\Tokong Nanas\Penggunaan\Penggunaan.shp,"['Id', 'No_Identif', 'Jenis_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau TokongNanas,,,,TokongNanas,TokongNanas,,,,
,C:\WP3WT\PPKT\SHP\Pulau Ararkula\3. Penggunaan\Pulau Ararkula\Pulau Ararkula.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Ararkula,,,,Ararkula,Ararkula,,,,
,C:\WP3WT\PPKT\SHP\Pulau Batu Goyang\3. Penggunaan\Pulau BatuGoyang\Pulau Batugoyang.shp,"['Id', 'No_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau BatuGoyang,,,,BatuGoyang,BatuGoyang,,,,
,C:\WP3WT\PPKT\SHP\Pulau Enu\3. Penggunaan\Pulau Enu\Pulau Enu.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Enu,,,,Enu,Enu,,,,
