a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\P Karimun Kecil\peta penguasaan tanah final.shp,"['PENGUASAAN', 'COUNT', 'FIRST_NAMA', 'FIRST_KEWA', 'FIRST_PROF', 'FIRST_DOMI', 'SUM_HA', 'AREA', 'PERIMETER', 'HECTARES', 'kuasa_2011']",2,Pulau,2017,Kep Riau,,Pulau KarimunKecil,,,,KarimunKecil,KarimunKecil,,,,
,C:\WP3WT\PPKT\SHP\Kepala\penguasaan tanah_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN', 'Ket', 'Keterang_1']",2,Pulau,2017,Kep Riau,,Pulau Kepala,,,,Kepala,Kepala,,,,
,C:\WP3WT\PPKT\SHP\Mangkai\Penguasaan\Penguasaan.shp,"['Id', 'No_Identif', 'Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'Jenis_Peng', 'Alas_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau Mangkai,,,,Mangkai,Mangkai,,,,
,C:\WP3WT\PPKT\SHP\Nipa\P_Nipah_Penguasaan.shp,"['ID', 'Penguasaan', 'Kode', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Nipa,,,,Nipa,Nipa,,,,
,C:\WP3WT\PPKT\SHP\Nongsa\P_Nongsa_Penguasaan.shp,"['FID_P_Nong', 'Id', 'Penguasaan', 'Kode', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Nongsa,,,,Nongsa,Nongsa,,,,
,C:\WP3WT\PPKT\SHP\Pelampong\P_Pelampong_Penguasaan.shp,"['FID_P_Pela', 'Id', 'Penguasaan', 'Kode', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Pelampong,,,,Pelampong,Pelampong,,,,
,C:\WP3WT\PPKT\SHP\Sebetul\geografis\PenguasaatanahSebetul_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN', 'Kode', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Sebetul,,,,Sebetul,Sebetul,,,,
,C:\WP3WT\PPKT\SHP\Sekatung\Penguasaan_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFISI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN', 'Kode']",2,Pulau,2017,Kep Riau,,Pulau Sekatung,,,,Sekatung,Sekatung,,,,
,C:\WP3WT\PPKT\SHP\Semiun\Penguasaan_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN']",2,Pulau,2017,Kep Riau,,Pulau Semiun,,,,Semiun,Semiun,,,,
,C:\WP3WT\PPKT\SHP\Sentut\Penguasaan_Sentut.shp,"['NAMA', 'KEWARGANEG', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau Sentut,,,,Sentut,Sentut,,,,
,C:\WP3WT\PPKT\SHP\Senua\Penguasaan Tanah_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFISI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN', 'kode']",2,Pulau,2017,Kep Riau,,Pulau Senua,,,,Senua,Senua,,,,
,C:\WP3WT\PPKT\SHP\Subi Kecil\Penguasaan_polyline.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN']",2,Pulau,2017,Kep Riau,,Pulau SubiKecil,,,,SubiKecil,SubiKecil,,,,
,C:\WP3WT\PPKT\SHP\Tokong Berlayar\Penguasaan\Penguasaan.shp,"['Id', 'No_Identif', 'Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'Jenis_Peng', 'Alas_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau TokongBerlayar,,,,TokongBerlayar,TokongBerlayar,,,,
,C:\WP3WT\PPKT\SHP\Tokong Boro\Penguasaan tanah_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau TokongBoro,,,,TokongBoro,TokongBoro,,,,
,C:\WP3WT\PPKT\SHP\Tokong Malang Biru\Penguasaan_Malangbiru.shp,"['NAMA', 'KEWARGANEG', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'ALAS_PENGU', 'TAHUN_PENG', 'KETERANGAN', 'AREA', 'PERIMETER', 'HECTARES']",2,Pulau,2017,Kep Riau,,Pulau TokongMalangBiru,,,,TokongMalangBiru,TokongMalangBiru,,,,
,C:\WP3WT\PPKT\SHP\Tokong Nanas\Penguasaan\Penguasaan.shp,"['Id', 'No_Identif', 'Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'Jenis_Peng', 'Alas_Peng', 'Keterangan']",2,Pulau,2017,Kep Riau,,Pulau TokongNanas,,,,TokongNanas,TokongNanas,,,,
,C:\WP3WT\PPKT\SHP\Pulau Ararkula\1. Penguasaan\Pulau Ararkula\Pulau Ararkula.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Ararkula,,,,Ararkula,Ararkula,,,,
